Gene,Mean Absolute SHAP
ENSG00000170373.8,0.07748000838176507
ENSG00000162840.4,0.07451059160913857
ENSG00000267436.1,0.07099346832203744
ENSG00000100146.16,0.0650896190480173
ENSG00000274630.1,0.06330698152302765
ENSG00000233521.5,0.06322115746457756
ENSG00000249908.2,0.06180588950500403
ENSG00000142973.12,0.05979900990755493
ENSG00000250568.1,0.059781163136091324
ENSG00000223814.1,0.058381040831625236
ENSG00000170477.12,0.057650043463562575
ENSG00000171401.14,0.057552566672414054
ENSG00000230937.9,0.057541030248632406
ENSG00000251381.6,0.05719194697933674
ENSG00000169562.9,0.05697189420751
ENSG00000233929.1,0.056734447446373154
ENSG00000143196.4,0.05654957388363278
ENSG00000207110.1,0.05575119881007795
ENSG00000214855.9,0.05530460826676535
ENSG00000104879.4,0.05506736026869409
ENSG00000111245.14,0.054198150339214116
ENSG00000241069.1,0.05343119686500233
ENSG00000211965.3,0.05275635459038197
ENSG00000170369.3,0.05260330303516123
ENSG00000211956.2,0.05248442381444396
ENSG00000274444.1,0.05180983301380342
ENSG00000149021.6,0.05139105618316129
ENSG00000244050.2,0.051248761235973245
ENSG00000064205.10,0.05123354322791739
ENSG00000271267.1,0.051188242570651514
ENSG00000270412.1,0.050524037113114664
ENSG00000168925.10,0.04989902765107603
ENSG00000224041.3,0.04967782794781914
ENSG00000071991.8,0.04910578721370053
ENSG00000268083.5,0.049028655089307725
ENSG00000185275.6,0.04901360154842532
ENSG00000261431.1,0.04866221778958341
ENSG00000112936.18,0.0479482394385566
ENSG00000258761.1,0.04761591787288476
ENSG00000207067.1,0.047482855644734194
ENSG00000269345.1,0.047394402903042664
ENSG00000259939.1,0.046829964455120096
ENSG00000248663.6,0.046717574141767575
ENSG00000239801.1,0.04643661816714895
ENSG00000222328.1,0.04628195587318912
ENSG00000211970.3,0.04611070982375107
ENSG00000211802.3,0.046036153124720904
ENSG00000016602.9,0.04601684340645619
ENSG00000278592.1,0.04583626685474244
ENSG00000211638.2,0.04578676320905884
ENSG00000268191.1,0.04576598394976792
ENSG00000238622.1,0.04574947050570901
ENSG00000167741.10,0.045075533975587556
ENSG00000211655.3,0.0448747583658402
ENSG00000230314.6,0.04472020516327439
ENSG00000254348.1,0.04456108121585109
ENSG00000204790.9,0.04422446674353527
ENSG00000278527.1,0.04413471992607498
ENSG00000275714.1,0.04399011853413285
ENSG00000227329.2,0.043941818892514924
ENSG00000271916.1,0.04354160377354319
ENSG00000216331.1,0.04348786640114302
ENSG00000224505.2,0.04338880122475403
ENSG00000181092.9,0.04331020327400018
ENSG00000267059.2,0.04299520618031446
ENSG00000163216.6,0.04297065024362435
ENSG00000134184.12,0.042944579521563934
ENSG00000211810.3,0.0428367843660569
ENSG00000099834.18,0.04265727678980337
ENSG00000089356.16,0.042244952092482885
ENSG00000229122.1,0.04198244804071118
ENSG00000280013.1,0.04187894345889116
ENSG00000169347.16,0.041415844807447366
ENSG00000260182.1,0.041372627884218326
ENSG00000237330.2,0.0412747373506361
ENSG00000228058.1,0.041253525576207456
ENSG00000148604.13,0.04124753793302165
ENSG00000105205.6,0.040980611236660455
ENSG00000101204.15,0.040871884108772044
ENSG00000211789.2,0.0407206639840006
ENSG00000254647.6,0.04069099022067575
ENSG00000129455.15,0.04062575746623285
ENSG00000092009.10,0.04054386720694686
ENSG00000264573.2,0.040206568715489416
ENSG00000123560.13,0.04013206029128518
ENSG00000233718.5,0.040094772146882535
ENSG00000168530.15,0.040088746963529376
ENSG00000249388.1,0.04001147206873185
ENSG00000274008.1,0.04000208157567954
ENSG00000249577.1,0.039939248150409244
ENSG00000226499.1,0.03988607291733498
ENSG00000263639.5,0.03981797431133869
ENSG00000187288.10,0.039806978613147866
ENSG00000163885.11,0.03980672643394802
ENSG00000270789.1,0.039709933485609285
ENSG00000139800.8,0.03958343896097435
ENSG00000007038.10,0.03957775841552266
ENSG00000233411.1,0.03953493813333861
ENSG00000168484.12,0.03952754199920826
ENSG00000264248.1,0.03947321862732962
